68776,44342629,-1,0,-1,4,9,9,0,-3,0,0,-1,-10,0,117,1308,-2,0,50,308,-1,0,51,4,5,49,4,5,0,0,0,0,0,0,731,737,770,720,1064,1053,1132,1049,1,0,0,1,1,3,6,7,-2,0,50,30.8,-1,0,-1
68780,44343878,-2,-2,-1,4,9,9,-6,-8,0,0,-1,-10,0,117,1308,-2,0,50,308,0,1,51,18,1,50,18,1,0,0,0,0,0,0,732,762,746,720,1071,1060,1132,1049,1,0,0,1,1,-4,-1,7,-2,0,50,30.8,-2,-1,-1
68784,44345117,-2,-1,-1,4,9,9,-3,-6,0,0,-1,-10,0,118,1308,-2,0,50,308,-1,1,50,-23,-3,52,-23,-3,0,0,0,0,0,0,731,752,755,721,1064,1053,1136,1045,1,0,0,1,1,-1,2,7,-2,0,50,30.8,-1,-1,0
68788,44346360,-2,-1,-1,4,9,9,-2,-2,0,0,-1,-10,0,118,1308,-2,0,50,308,0,1,50,0,4,48,0,4,0,0,0,0,0,0,737,743,764,715,1064,1060,1141,1045,1,0,0,1,1,0,6,7,-2,0,50,30.8,-2,-1,0
68792,44347603,-2,-1,-1,4,9,9,1,2,0,0,-1,-10,0,118,1308,-2,0,50,308,-1,0,50,22,1,50,22,1,0,0,0,0,0,0,738,728,779,713,1079,1056,1145,1042,1,0,0,1,1,3,10,7,-2,0,50,30.8,-1,0,0
68796,44348848,-2,-1,-1,4,9,9,-3,-1,0,0,-1,-10,0,118,1308,-2,0,50,308,0,1,50,-17,-1,53,-17,-1,0,0,0,0,0,0,742,742,766,709,1075,1064,1132,1038,1,0,0,1,1,-1,7,7,-2,0,50,30.8,-2,-1,0
68800,44350091,-3,-1,-1,4,9,9,-9,1,0,0,-1,-10,0,118,1308,-2,0,50,308,0,0,50,-9,1,48,-9,1,0,0,0,0,0,0,758,751,757,693,1064,1060,1128,1056,1,0,0,1,1,-8,9,7,-2,0,50,30.8,-2,0,0
68804,44351334,-2,-1,-1,4,9,9,0,0,0,0,-1,-10,0,117,1308,-2,0,50,308,0,1,50,24,2,51,24,2,0,0,0,0,0,0,737,733,774,715,1068,1064,1132,1060,1,0,0,1,1,2,8,7,-2,0,50,30.8,-2,-1,0
68808,44352579,-2,-1,-1,4,9,9,5,-1,0,0,-1,-10,0,117,1308,-2,0,50,308,-1,1,51,-13,1,53,-13,1,0,0,0,0,0,0,726,727,781,726,1075,1060,1132,1056,1,0,0,1,1,7,7,7,-2,0,50,30.8,-1,-1,-1
68812,44353822,-1,-2,-1,4,9,9,5,-5,0,0,-1,-10,0,117,1308,-2,0,50,308,-1,1,50,-14,2,47,-14,2,0,0,0,0,0,0,716,733,774,736,1064,1060,1128,1056,1,0,0,1,1,8,2,7,-2,0,50,30.8,-1,-1,0
68816,44355066,-2,-2,-1,4,9,9,1,-4,0,0,-1,-10,0,117,1308,-2,0,50,308,0,1,50,23,-1,49,23,-1,0,0,0,0,0,0,725,743,765,726,1075,1068,1115,1056,1,0,0,1,1,3,3,7,-2,0,50,30.8,-2,-1,0
68820,44356310,-2,-2,0,4,9,9,-2,-2,0,0,-1,-10,0,117,1308,-2,0,50,308,0,1,50,-8,1,55,-8,1,0,0,0,0,0,0,735,744,764,716,1071,1064,1119,1060,1,0,0,1,1,0,5,8,-2,0,50,30.8,-2,-1,0
68824,44357559,0,-2,0,4,9,9,8,-2,0,0,-1,-10,0,117,1308,-2,0,50,308,-2,1,50,-21,5,46,-21,5,0,0,0,0,0,0,713,722,787,737,1060,1068,1136,1053,1,0,0,1,1,12,5,8,-2,0,50,30.8,0,-1,0
68828,44358796,1,-3,0,4,9,9,14,-5,0,0,-1,-10,0,118,1308,-2,0,50,308,-2,2,50,21,-2,49,21,-2,0,0,0,0,0,0,693,718,790,758,1068,1053,1128,1053,1,0,0,1,1,19,1,8,-2,0,50,30.8,0,-2,0
68832,44360040,0,-2,0,4,9,9,8,-2,0,0,-1,-10,0,118,1308,-2,0,50,308,-2,1,50,-3,1,55,-3,1,0,0,0,0,0,0,712,722,786,739,1071,1064,1128,1060,1,0,0,1,1,12,5,8,-2,0,50,30.8,0,-1,0
68836,44361283,0,-3,0,4,9,9,2,-3,0,0,-1,-10,0,118,1308,-2,0,50,308,-2,2,50,-23,5,47,-23,5,0,0,0,0,0,0,720,737,771,732,1064,1068,1132,1049,1,0,0,1,1,6,3,8,-2,0,50,30.8,0,-2,0
68840,44362526,0,-2,-1,4,9,9,-1,0,0,0,-1,-10,0,118,1308,-2,0,50,308,-2,1,50,15,-3,47,15,-3,0,0,0,0,0,0,732,734,773,720,1068,1060,1136,1056,1,0,0,1,1,3,7,7,-2,0,50,30.8,0,-1,0
